type,K,T1,T2,Td,zeta,omega_n,num,den,sprunghoehe_target,sprungzeit_target,Kp,Ki,Kd,Tu,Tg,Overshoot,Label,type_PT1,type_PT1+Td,type_PT2,type_PT2+Td,ISE
PT1,1.2817293348456895,4.705921793657383,0.0,0.0,,,[1.2817293348456897],"[4.705921793657383, 1]",1,20,1.5413081212405668,0.9780604180662013,0.272725143790155,5.60280140070035,1.7008504252126062,0.1411988665736054,good,True,False,False,False,9.210440366976517
PT1,2.926862122328316,37.62091482695359,0.0,0.0,,,[2.926862122328316],"[37.62091482695359, 1]",1,20,2.8144855032676177,0.1198996208195643,0.2356936295360473,23.81190595297649,4.402201100550275,0.0338437359561142,good,True,False,False,False,0.0
PT2+Td,2.105152954385638,31.74980320925684,15.43329401309873,2.03273107923446,,,[2.105152954385638],[490.00404779  47.18309722   1.        ],1,20,0.6293525350987007,0.0337104727294945,0.1666163302771073,66.83341670835418,28.314157078539267,0.2558940339199914,good,False,False,False,True,5.56561719994832
PT1,2.967726377863883,2.478101826083109,0.0,0.0,,,[2.967726377863883],"[2.478101826083109, 1]",1,20,1.4576478525179777,0.6112154757499932,0.3696070622082568,4.702351175587793,0.6003001500750375,0.006899722762317,good,True,False,False,False,6.147380354384643
PT1,1.4819901320299576,9.55963536150791,0.0,0.0,,,[1.4819901320299576],"[9.55963536150791, 1]",1,20,2.357303124805462,0.6418413830382728,0.5973673603093661,8.704352176088044,2.301150575287644,0.1085902470550701,good,True,False,False,False,8.842524984209755
PT1+Td,1.39299758212093,40.25684548630929,0.0,4.741874838511667,,,[1.39299758212093],"[40.25684548630929, 1]",1,20,2.696836877248616,0.7714724541049814,0.2702813254366513,16.708354177088545,5.5027513756878434,0.3533848952616503,good,False,True,False,False,0.0
PT2+Td,1.5441568909259136,6.013768321983774,25.909181489189088,2.1853055501470218,,,[1.5441568909259136],[155.81181489  31.92294981   1.        ],1,20,2.185084585966565,0.3806651831245417,0.7967762275806358,21.31065532766383,8.604302151075537,0.6206127832791546,good,False,False,False,True,8.271166267924205
PT1+Td,0.6879664802294617,46.39958140674671,0.0,1.8766828335669297,,,[0.6879664802294617],"[46.399581406746705, 1]",1,20,1.2593584105449809,0.5195224835573429,0.1994037633757348,34.21710855427714,12.8064032016008,0.4815224384888651,good,False,True,False,False,7.703713158492435
PT1+Td,1.9589521127817024,17.93518955445646,0.0,1.0683291458236372,,,[1.9589521127817022],"[17.93518955445646, 1]",1,20,2.9266499836814965,0.1794355179070373,0.3380007552791827,21.210605302651324,3.1015507753876936,0.0062693794916887,good,False,True,False,False,0.0
PT1,2.4615217678983177,34.71156627909555,0.0,0.0,,,[2.4615217678983177],"[34.71156627909555, 1]",1,20,0.939647927863752,0.9165861221549984,0.2554438997745529,11.50575287643822,4.202101050525262,0.5617083529477666,good,True,False,False,False,0.0
PT2,1.9354044589288013,9.11251101576382,4.3221063664922825,0.0,,,[1.9354044589288015],[39.38524188 13.43461738  1.        ],1,20,2.7601934502561623,0.9115735642003722,0.2516719485215892,8.204102051025512,3.301650825412706,0.7725962042579174,good,False,False,True,False,9.210440366976517
PT1+Td,1.7514881455968512,49.54028708948262,0.0,1.858120476898508,,,[1.7514881455968512],"[49.54028708948262, 1]",1,20,1.9582086894604405,0.5464557952995309,0.1284478429544694,19.90995497748874,6.703351675837919,0.3930988420651214,good,False,True,False,False,7.522686169454749
PT2,0.9801179097139128,13.622769862713538,4.827311079767958,0.0,,,[0.9801179097139128],[65.7613479  18.45008094  1.        ],1,20,1.6344764599036548,0.46811452377363,0.7244867182443545,19.10955477738869,7.803901950975487,0.5931396589279996,good,False,False,True,False,8.264751644818865
PT2,1.694359762395885,44.09615956215549,5.47825270482878,0.0,,,[1.694359762395885],[241.56990539  49.57441227   1.        ],1,20,2.7718768168325068,0.3114223406338053,0.8925217287269837,25.112556278139067,9.804902451225612,0.5189918487261831,good,False,False,True,False,8.243798966418444
PT2,1.2086306284902466,13.767168535668182,1.841380107371724,0.0,,,[1.2086306284902466],[25.35059028 15.60854864  1.        ],1,20,2.4450010911158886,0.6315968051262436,0.9045825296289642,11.405702851425712,4.302151075537768,0.3464199900953134,good,False,False,True,False,0.0
PT2+Td,2.035365545243546,38.20346731117047,14.855287763906572,3.366991882171761,,,[2.035365545243546],[567.52350049  53.05875508   1.        ],1,20,2.7654641551160672,0.179473350926403,0.9863373970898384,31.915957978989493,12.30615307653827,0.6874506085972153,good,False,False,False,True,7.874138293574578
PT2,2.9518133388689587,25.01111359929486,2.830683986924348,0.0,,,[2.9518133388689587],[70.79855876 27.84179759  1.        ],1,20,2.3111286663361312,0.8901137820818055,0.3533980514376876,9.90495247623812,3.8019009504752375,0.9009859338727528,good,False,False,True,False,0.0
PT2+Td,2.8206580679569595,30.204523058467476,1.9443359030671687,2.2447067308509374,,,[2.8206580679569595],[58.72773862 32.14885896  1.        ],1,20,2.1268034896269867,0.1199003644096157,0.7097336761520383,16.908454227113555,5.5027513756878434,0.0832668096936811,good,False,False,False,True,0.0
PT1+Td,2.1578018790208766,43.34995801117088,0.0,4.998853508213489,,,[2.1578018790208766],"[43.34995801117088, 1]",1,20,0.977272975116346,0.0874246139239006,0.7573446217931713,43.2216108054027,13.30665332666333,0.1866480218043949,good,False,True,False,False,7.280685090944418
