type,K,T1,T2,Td,zeta,omega_n,num,den,sprunghoehe_target,sprungzeit_target,Kp,Ki,Kd,Tu,Tg,Overshoot,Label,ISE,SSE,SettlingTime,RiseTime
PT2,1.0848520706194202,40.307725134572046,19.022729566694924,,,,[1.0848520706194202],[766.76295468  59.3304547    1.        ],1,20,2.0928832805862627,0.1320564986177699,0.7563613490786126,57.32866433216608,23.71185592796398,0.5239429839781449,good,,,,
PT1,2.038700763434369,20.23849849796396,,,,,[2.0387007634343686],"[20.238498497963956, 1]",1,20,0.8183817798626104,0.3026684354403339,0.0900871658333842,16.408204102051023,5.702851425712856,199.0,good,-53.86783351063617,199.0,0.09849918063668651,0.07300283540308378
PT1+Td,1.6121745743441604,49.8848160236764,,0.7965765351716434,,,[1.6121745743441604],"[49.8848160236764, 1]",1,20,1.659843723557621,0.7825958354318392,0.5772683370117794,18.209104552276138,6.4032016008004,199.0,good,-99.05204191719758,199.0,0.0795769333489796,0.050574808695792256
PT2+Td,2.801553333661283,2.8311031052306035,41.33235456014894,1.6821421993351242,,,[2.801553333661283],[117.01615734  44.16345767   1.        ],1,20,1.5009387332820356,0.0438337557864034,0.6384277534374044,39.11955977988994,10.505252626313156,0.02498037622904,good,,,,
PT2,2.4458939229644026,37.61908059793086,2.855652367022693,,,,[2.4458939229644026],[107.42701655  40.47473296   1.        ],1,20,2.182980026717124,0.716725979876687,0.5732674161581972,14.307153576788393,5.5027513756878434,0.778605157413194,good,,,,
Osc2,2.530885558193224,,,,0.5196087435237379,0.4815065207419243,[0.5867820950428935],"[1, 0.5003899964823959, 0.23184852951699322]",1,20,1.9495216369549968,0.6597856564244922,0.1272388475431612,2.7013506753376686,1.200600300150075,199.0,good,1.4863948743170416,199.0,0.5205585382256295,0.48410088137607116
PT1+Td,1.6411117399986692,9.158291899586152,,2.7205595343661195,,,[1.6411117399986692],"[9.158291899586153, 1]",1,20,1.807895494241688,0.7972964843547213,0.8020192889832778,7.603801900950475,2.2011005502751373,199.0,good,-10.008568046492027,199.0,0.3658602680175369,0.1926705804725081
PT1,1.80887998247122,35.80020070351468,,,,,[1.80887998247122],"[35.80020070351468, 1]",1,20,2.599086841590624,0.1972888147810044,0.1994010832292201,25.112556278139067,6.4032016008004,199.0,good,-115.7084569076964,199.0,0.1333601366024168,0.09788093960110131
PT1+Td,2.743859555533166,26.39136990436937,,2.724140957657162,,,[2.7438595555331666],"[26.39136990436937, 1]",1,20,0.5647750726367478,0.455946834067217,0.8310478488805838,14.10705352676338,5.002501250625312,199.0,good,-34.54480725108257,199.0,0.14366218915027584,0.0540126810758083
PT1,1.0364967339315312,23.071540974035045,,,,,[1.0364967339315312],"[23.071540974035045, 1]",1,20,2.9160512025619587,0.4280325370365776,0.5270215320255323,19.409704852426213,5.60280140070035,199.0,good,-66.6512375559091,199.0,0.14560298045089443,0.09770014422319295
PT1+Td,2.2824876456882848,21.84694668409361,,1.6074837873144436,,,[2.2824876456882848],"[21.846946684093606, 1]",1,20,1.114265995254201,0.7415337224996987,0.4212155604653688,10.40520260130065,3.601800900450225,199.0,good,-23.549933153487412,199.0,0.17188104340443378,0.10764043083572289
PT1+Td,1.010535772599394,27.33573528800875,,4.585073729331435,,,[1.010535772599394],"[27.33573528800875, 1]",1,20,0.7355362196145185,0.3794767052056487,0.6136476035722347,25.81290645322661,9.704852426213106,199.0,good,-59.990704603418635,199.0,0.053159123835583924,0.025695448582984528
PT1,2.444576603000852,42.241136649197934,,,,,[2.4445766030008516],"[42.241136649197934, 1]",1,20,1.2880150189393498,0.9074163923409152,0.4903222375183657,12.706353176588294,4.502251125562781,199.0,good,-38.93542125897967,199.0,0.11770720714385588,0.07527964195770628
PT2,1.0369326111533828,8.17495901085449,17.8923798141116,,,,[1.0369326111533828],[146.26947159  26.06733882   1.        ],1,20,1.6565585237146632,0.0515610361546972,0.6418137302213026,39.81990995497748,16.408204102051023,0.0,good,,,,
PT1,0.7409189348486862,22.7789964152686,,,,,[0.7409189348486862],"[22.778996415268598, 1]",1,20,0.8902656003377075,0.3435349782002691,0.8604635255059969,29.31465732866433,10.905452726363182,199.0,good,-158.70747760681934,199.0,0.05770492085281967,0.025052613434642323
Osc2,2.896902276452437,,,,0.5625687854934114,0.7254221734581678,[1.524458118491882],"[1, 0.8161997421847046, 0.5262373297447721]",1,20,1.9043090402694245,0.2050295249990744,0.308572564247018,1.6008004002001,0.7003501750875437,199.0,good,29.364698427400832,199.0,0.9244968405796983,0.7900920556213731
PT2,1.4340838021052076,2.298602777175112,48.51245502758161,,,,[1.4340838021052076],[111.51086385  50.8110578    1.        ],1,20,2.6598209185927404,0.6462611937500103,0.5513259675589993,20.71035517758879,7.903951975987994,0.5790517559348675,good,,,,
Osc2,2.710441843613315,,,,0.5012763106152228,0.221589563717626,[0.1330879385448889],"[1, 0.2221551979424168, 0.04910193474856783]",1,20,2.5087154859437857,0.231705390401413,0.7107498458649012,5.002501250625312,2.101050525262631,199.0,good,22.97061910509169,199.0,0.22681191067003123,0.20192561709238047
PT1,0.5176179424930203,24.372396994999505,,,,,[0.5176179424930203],"[24.372396994999505, 1]",1,20,2.0235915285308157,0.5204985565349061,0.9132138594222524,28.51425712856428,10.105052526263131,199.0,good,-140.87109243813052,199.0,0.06313751822448642,0.03584066791827116
PT1,2.415899605665552,17.707699843066926,,,,,[2.415899605665552],"[17.707699843066926, 1]",1,20,0.8293355549032384,0.2077462472955761,0.6694919033547955,17.508754377188595,5.5027513756878434,199.0,good,-49.76611328733503,199.0,0.17868740336136724,0.07665049092096801
PT1,1.2817293348456895,4.705921793657383,,,,,[1.2817293348456897],"[4.705921793657383, 1]",1,20,1.5413081212405668,0.9780604180662013,0.272725143790155,5.60280140070035,1.7008504252126062,199.0,good,-4.375447239008201,199.0,0.4172087494958704,0.2776144524661059
